probe,p_val,t_stat,p_adj
230130_at,2.1016831530949254e-34,17.088632410047218,3.4598676423530436e-33
222877_at,4.033377489582955e-34,19.349105579346222,6.569256315480323e-33
213800_at,4.159494581615046e-34,17.411020177349172,6.703353899423826e-33
226777_at,4.415176893285845e-34,17.402583757669724,7.041287316271487e-33
211959_at,7.309822124846166e-34,17.215730707877142,1.1537461518700496e-32
212263_at,7.418613814874213e-34,16.622157299588338,1.1589691582216756e-32
204464_s_at,7.755993686893918e-34,16.52418389160647,1.1994370034984433e-32
218502_s_at,8.947586167089574e-34,16.620565934694667,1.3698754421814137e-32
209283_at,1.2061593128998054e-33,18.74284090816504,1.8283464436134674e-32
227376_at,1.3438054563041792e-33,17.932706792865865,2.0170256407859788e-32
204069_at,1.852393427275214e-33,17.845848716481136,2.7534119778236433e-32
225946_at,2.008576657376048e-33,19.172834116902347,2.956856598502624e-32
221942_s_at,2.538395426858584e-33,16.888113116734292,3.70122228430523e-32
230722_at,2.569541014523408e-33,19.65093952529501,3.7112898992786205e-32
228080_at,2.6149516861950784e-33,19.410298361061045,3.7415804033314627e-32
221019_s_at,2.8743656704902593e-33,19.70580859838164,4.0746794828894325e-32
225790_at,2.9826408417242224e-33,19.699875808852564,4.189379017137417e-32
225681_at,3.096176235832316e-33,16.494421022017885,4.3093143791447963e-32
232458_at,3.621056315080394e-33,16.921363426695724,4.994447944493769e-32
212233_at,4.1032585400912464e-33,17.22959542813455,5.609007879356874e-32
204359_at,6.550536661404172e-33,17.781379215028604,8.875107635937865e-32
207233_s_at,6.888404991188066e-33,17.53351244462325,9.2510070539552e-32
213122_at,7.715860395490083e-33,18.932587882421792,1.0272158491735058e-31
226103_at,9.604231739829624e-33,18.141696557382826,1.2675929994550995e-31
226517_at,1.1553757926869341e-32,16.335257401044846,1.5118635372681163e-31
204894_s_at,1.4603049174265644e-32,16.768470448858746,1.8946837530339578e-31
228333_at,1.5077135143240393e-32,18.045685869088317,1.9397557902773985e-31
201792_at,1.6332413845222382e-32,17.365039517357136,2.0837437997529556e-31
203603_s_at,1.8111900464589703e-32,17.375184163492094,2.2916793067179204e-31
211958_at,1.8884610767054342e-32,16.56875492883822,2.3698638593737865e-31
244050_at,2.260121697347247e-32,15.96116509275833,2.813208389137102e-31
1555778_a_at,3.454079137680039e-32,16.01564087172405,4.2646735159581776e-31
209946_at,4.009078877311429e-32,17.63059371216771,4.910319808931038e-31
212464_s_at,4.435930626851254e-32,16.57778417566996,5.390007769610531e-31
235318_at,4.569876989098217e-32,18.860449888963654,5.509040685282969e-31
218718_at,5.254405280722458e-32,15.707685605136097,6.284761316239127e-31
204688_at,5.460663463103863e-32,15.761332938563344,6.480833924040321e-31
209524_at,6.018810352994505e-32,15.995849191247592,7.088306654180452e-31
205100_at,1.0353240104010263e-31,17.859551752279273,1.2099855419266954e-30
212526_at,1.1600220724514982e-31,17.25622608295249,1.3454498431236693e-30
206584_at,1.5644888144228209e-31,15.511252142302405,1.8009265976551417e-30
1552309_a_at,2.6289806055146235e-31,17.37230141822547,3.003708438091708e-30
209596_at,2.812203169951789e-31,15.55023091064925,3.189246706071251e-30
238447_at,3.4165725214981964e-31,16.593159683138225,3.846156272363043e-30
226311_at,4.514177677531372e-31,15.347016319214667,5.0446759301463724e-30
206026_s_at,4.699298967408558e-31,15.402615662269278,5.213497622538045e-30
212489_at,4.73729470727356e-31,15.314176314468686,5.2178404293782876e-30
225285_at,4.892724039550114e-31,15.967408551892389,5.350543217536589e-30
201430_s_at,5.323201442102804e-31,15.289812663934168,5.780015182879002e-30
229530_at,6.668247885588969e-31,16.061621664331987,7.189498248476557e-30
