probesets,p_val,t_stat,p_adj
224087_at,2.676548903999664e-4,-3.7517936033470534,9.962410469299202e-4
1552768_at,2.6787803760098123e-4,-3.7524660253698903,9.969879995423588e-4
243709_at,2.67911095947939e-4,3.746722973699019,9.970274138451688e-4
204216_s_at,2.6815337000628774e-4,-3.749230217686392,9.978453496041107e-4
1567068_at,2.6826942894075956e-4,-3.768146760522282,9.98193519138538e-4
220357_s_at,2.683392514696632e-4,-3.7562569554471557,9.98369605430226e-4
221288_at,2.684438427383894e-4,-3.750312215408283,9.986750101874608e-4
228743_at,2.6846870608744855e-4,-3.7467353273667383,9.986837817612985e-4
233507_at,2.684954718792989e-4,-3.7473438972203037,9.98699628218264e-4
215756_at,2.6859507217265907e-4,-3.747670641087902,9.989863655738619e-4
1556689_a_at,2.68701509625918e-4,-3.749770343119755,9.99298482203328e-4
1552680_a_at,2.687753872512669e-4,-3.7577461762098503,9.9948946696346e-4
213848_at,2.693243381423017e-4,3.7571997517423843,0.0010014469167977742
232718_at,2.6967731198001887e-4,-3.754871563039297,0.0010026753849278038
1558660_at,2.699379002017892e-4,-3.7562651876277813,0.0010035601810869969
204517_at,2.700631401512758e-4,3.746646391743381,0.00100394168084216
1561298_at,2.7049432974645326e-4,-3.7573416138607696,0.00100543618085777
1563300_at,2.7051048029883755e-4,-3.7521918868594533,0.00100543618085777
202135_s_at,2.705734581611169e-4,-3.7436769599307222,0.0010055860306448544
241606_s_at,2.7061127524678373e-4,-3.747200416587655,0.001005642353159369
1556297_a_at,2.708223945972512e-4,-3.751957218107133,0.0010063426360955468
235846_at,2.7101355865953965e-4,-3.7432820911888114,0.0010069686565785038
1561430_s_at,2.7117762310875047e-4,-3.745255168332461,0.0010074463956841171
220755_s_at,2.711875424551387e-4,3.744320260291145,0.0010074463956841171
206718_at,2.712320769622457e-4,-3.7422729459275903,0.00100752749164571
205910_s_at,2.71291155894762e-4,3.7941164324443055,0.0010075782593597308
211984_at,2.712784969918938e-4,3.761426090361008,0.0010075782593597308
1562017_at,2.716973154519923e-4,-3.7543456158735435,0.0010090022908345602
205602_x_at,2.719517428079119e-4,-3.7446781500323083,0.0010098626432720578
243261_at,2.722202426604897e-4,-3.7531869921983496,0.0010107751040129888
1566576_at,2.7229843761061243e-4,-3.7459530490189064,0.0010109808541642342
1553553_at,2.725884131728526e-4,-3.7438109664453263,0.0010119727963310745
1559410_at,2.727523749636127e-4,-3.742094400604632,0.0010124967909494991
208134_x_at,2.7307093283594026e-4,-3.742070958509953,0.0010135945332157966
241669_x_at,2.7321363535698237e-4,-3.7512549059608626,0.0010140394002146281
207459_x_at,2.7370298882134345e-4,-3.7481454291904743,0.0010157706890480149
224816_at,2.7372760617457953e-4,-3.7409851445676807,0.0010157770968386825
225896_at,2.738355558133221e-4,3.7674686596719305,0.0010160927158806062
227350_at,2.738688217959062e-4,-3.746989908618727,0.0010161311845479379
200662_s_at,2.7416757100906346e-4,-3.752898705756557,0.0010171545826876676
1562532_at,2.742466143424574e-4,-3.7436669986797955,0.0010173045264164438
239869_at,2.742538377356601e-4,-3.745462202202904,0.0010173045264164438
202258_s_at,2.742895918649719e-4,3.7456903054994024,0.0010173521095794157
207745_at,2.743315913383897e-4,-3.747112032506749,0.0010174228471074838
240660_at,2.7445747555349717e-4,-3.7436826206427614,0.0010178046529906767
202794_at,2.746340088505928e-4,-3.7468295496598336,0.001018374207633079
1554414_a_at,2.746975129828718e-4,3.7422820414670572,0.0010184552619336633
238770_at,2.7470176969203415e-4,-3.756568503340999,0.0010184552619336633
207533_at,2.7493977463191615e-4,-3.7530364722858107,0.0010191673627342143
230405_at,2.74917410536432e-4,3.7388995288037727,0.0010191673627342143
224315_at,2.7504046621068496e-4,-3.739402391223352,0.0010194554533995276
236041_at,2.7508746503609164e-4,-3.7567663780343477,0.0010195444968659957
204714_s_at,2.7528071370154684e-4,3.746832289583021,0.0010200051495078608
229097_at,2.7524270714925314e-4,-3.7415555431150933,0.0010200051495078608
235615_at,2.75258428362891e-4,-3.753734780347996,0.0010200051495078608
225884_s_at,2.7586588108308066e-4,3.744988846418046,0.001022088041501353
1569917_at,2.759293010479138e-4,-3.737365029553997,0.0010222376635499394
1563007_at,2.75956098034109e-4,-3.7390664521199706,0.0010222515944789705
1560433_at,2.7612189456748107e-4,3.748900678986282,0.001022780389935891
1556231_a_at,2.7620596176340537e-4,-3.737748422295648,0.001022921010954024
229437_at,2.7618433706875134e-4,3.774185210535034,0.001022921010954024
1560489_at,2.762507882874745e-4,-3.7477608019226416,0.0010230016465206276
